x_train,y_train
"[0.8034026465028354, 0.8204158790170131, 0.827977315689981]",25.9
"[0.8204158790170131, 0.827977315689981, 0.8525519848771265]",22.499999999999996
"[0.827977315689981, 0.8525519848771265, 0.7882797731568996]",21.100000000000005
"[0.8525519848771265, 0.7882797731568996, 0.7618147448015122]",22.9
"[0.7882797731568996, 0.7618147448015122, 0.7958412098298675]",24.500000000000004
"[0.7618147448015122, 0.7958412098298675, 0.826086956521739]",26.6
"[0.7958412098298675, 0.826086956521739, 0.8657844990548202]",25.5
"[0.826086956521739, 0.8657844990548202, 0.8449905482041586]",24.7
"[0.8657844990548202, 0.8449905482041586, 0.8298676748582229]",24.8
"[0.8449905482041586, 0.8298676748582229, 0.8317580340264649]",26.299999999999997
"[0.8298676748582229, 0.8317580340264649, 0.8601134215500943]",26.6
"[0.8317580340264649, 0.8601134215500943, 0.8657844990548202]",24.8
"[0.8601134215500943, 0.8657844990548202, 0.8317580340264649]",24.899999999999995
"[0.8657844990548202, 0.8317580340264649, 0.8336483931947067]",26.199999999999996
"[0.8317580340264649, 0.8336483931947067, 0.8582230623818523]",26.4
"[0.8336483931947067, 0.8582230623818523, 0.8620037807183363]",26.9
"[0.8582230623818523, 0.8620037807183363, 0.8714555765595461]",26.299999999999997
"[0.8620037807183363, 0.8714555765595461, 0.8601134215500943]",27.3
"[0.8714555765595461, 0.8601134215500943, 0.879017013232514]",27.499999999999996
"[0.8601134215500943, 0.879017013232514, 0.8827977315689979]",26.0
"[0.879017013232514, 0.8827977315689979, 0.8544423440453685]",24.600000000000005
"[0.8827977315689979, 0.8544423440453685, 0.827977315689981]",22.399999999999995
"[0.8544423440453685, 0.827977315689981, 0.7863894139886576]",24.7
"[0.827977315689981, 0.7863894139886576, 0.8298676748582229]",25.400000000000002
"[0.7863894139886576, 0.8298676748582229, 0.8431001890359167]",25.2
"[0.8298676748582229, 0.8431001890359167, 0.8393194706994327]",24.899999999999995
"[0.8431001890359167, 0.8393194706994327, 0.8336483931947067]",25.2
